last,best_bid,best_ask
126.9964,126.9726,126.9937
126.9964,126.9726,126.9937
126.9964,126.9726,126.9937
126.9964,126.9726,126.9937
126.9964,126.9726,126.9937
126.9964,126.9726,126.9937
126.9964,126.9726,126.9937
126.9964,126.9727,126.9937
126.9964,126.9727,126.9937
126.9964,126.9727,126.9937
126.9964,126.9728,126.9937
126.9964,126.9728,126.9937
126.9964,126.9728,126.9937
126.9964,126.9728,126.9937
126.9964,126.9728,126.9937
126.9964,126.9728,126.9937
126.9964,126.9728,126.9937
126.9964,126.9728,126.9937
126.9964,126.9728,126.9937
126.9964,126.9728,126.9937
126.9964,126.9728,126.9937
126.9964,126.9728,126.9937
126.9964,126.9728,126.9937
126.9964,126.9728,126.9937
127,127,127.0106
127,127,127.0106
127,127,127.0106
127,127,127.0106
127,127,127.0106
127,127,127.0106
127,127,127.0106
127,127,127.0106
127,127,127.0106
127,127,127.0106
127,127,127.0106
127,127,127.0106
127,127,127.0106
127.0176,127.0239,127.0298
127.0176,127.0239,127.0298
127.0176,127.0239,127.0298
127.0176,127.0239,127.0298
127.0176,127.0239,127.0298
127.0176,127.0239,127.0298
127.0298,127.0241,127.0298
127.0298,127.0241,127.0298
127.0298,127.0241,127.0298
127.0298,127.0241,127.0298
127.0298,127.0242,127.0298
127.0298,127.0242,127.0298
127.0298,127.0242,127.0298
127.0298,127.0242,127.0298
127.0298,127.0242,127.0298
127.0298,127.0299,127.0311
127.0298,127.0299,127.0311
127.0298,127.0299,127.0311
127.0298,127.0299,127.0311
127.0298,127.0299,127.0311
127.0298,127.0299,127.0311
127.0298,127.0299,127.0311
127.0311,127.0311,127.0416
127.0311,127.0311,127.0416
127.0311,127.0311,127.0416
127.0311,127.0311,127.0416
127.0311,127.0311,127.0416
127.0311,127.0311,127.0416
127.0311,127.0311,127.0416
127.0311,127.0311,127.0416
127.0311,127.0311,127.0416
